card_id,option_order,semantic,label,presented_text,interaction_ids
card_excursion_library_week_004,1,Blocked,통제,도서관에 가지 못하게 한다.,
card_excursion_library_week_005,0,Direct,허가,도서관에 갈 수 있게 한다.,
card_excursion_library_week_005,1,Blocked,통제,도서관에 가지 못하게 한다.,
card_excursion_library_week_006,0,Direct,허가,도서관에 갈 수 있게 한다.,
card_excursion_library_week_006,1,Blocked,통제,도서관에 가지 못하게 한다.,
card_excursion_library_week_007,0,Direct,허가,도서관에 갈 수 있게 한다.,
card_excursion_library_week_007,1,Blocked,통제,도서관에 가지 못하게 한다.,
card_excursion_library_week_008,0,Direct,허가,도서관에 갈 수 있게 한다.,
card_excursion_library_week_008,1,Blocked,통제,도서관에 가지 못하게 한다.,
card_excursion_library_week_009,0,Direct,허가,도서관에 갈 수 있게 한다.,
card_excursion_library_week_009,1,Blocked,통제,도서관에 가지 못하게 한다.,
card_rian_week_001,0,Direct,허가,허가한다,
card_rian_week_001,1,Blocked,거부,불허한다,
card_rian_week_002,0,Direct,허가,허가한다,
card_rian_week_002,1,Blocked,거부,불허한다,
card_rian_week_003,0,Direct,허가,허가한다,
card_rian_week_003,1,Blocked,거부,불허한다,
card_rian_week_004,0,Direct,허가,허가한다,
card_rian_week_004,1,Blocked,거부,불허한다,
card_rian_week_005,0,Direct,허가,허가한다,
card_rian_week_005,1,Blocked,거부,불허한다,
card_rian_week_006,0,Direct,허가,허가한다,
card_rian_week_006,1,Blocked,거부,불허한다,
card_rian_week_007,0,Direct,허가,허가한다,
card_rian_week_007,1,Blocked,거부,불허한다,
card_rian_week_008,0,Direct,허가,허가한다,
card_rian_week_008,1,Blocked,거부,불허한다,
card_rian_week_009,0,Direct,허가,허가한다,
card_rian_week_009,1,Blocked,거부,불허한다,
card_max_week_001,0,Direct,허가,허가한다,
card_max_week_001,1,Blocked,거부,불허한다,
card_max_week_002,0,Direct,허가,허가한다,
card_max_week_002,1,Blocked,거부,불허한다,
card_max_week_003,0,Direct,허가,허가한다,
card_max_week_003,1,Blocked,거부,불허한다,
card_max_week_004,0,Direct,허가,허가한다,
card_max_week_004,1,Blocked,거부,불허한다,
card_max_week_005,0,Direct,허가,허가한다,
card_max_week_005,1,Blocked,거부,불허한다,
card_max_week_006,0,Direct,허가,허가한다,
card_max_week_006,1,Blocked,거부,불허한다,
card_max_week_007,0,Direct,허가,허가한다,
card_max_week_007,1,Blocked,거부,불허한다,
card_max_week_008,0,Direct,허가,허가한다,
card_max_week_008,1,Blocked,거부,불허한다,
card_max_week_009,0,Direct,허가,허가한다,
card_max_week_009,1,Blocked,거부,불허한다,
card_millia_week_001,0,Direct,허가,허가한다,
card_millia_week_001,1,Blocked,거부,불허한다,
card_millia_week_002,0,Direct,허가,허가한다,
card_millia_week_002,1,Blocked,거부,불허한다,
card_millia_week_003,0,Direct,허가,허가한다,
card_millia_week_003,1,Blocked,거부,불허한다,
card_millia_week_004,0,Direct,허가,허가한다,
card_millia_week_004,1,Blocked,거부,불허한다,
card_millia_week_005,0,Direct,허가,허가한다,
card_millia_week_005,1,Blocked,거부,불허한다,
card_millia_week_006,0,Direct,허가,허가한다,
card_millia_week_006,1,Blocked,거부,불허한다,
card_millia_week_007,0,Direct,허가,허가한다,
card_millia_week_007,1,Blocked,거부,불허한다,
card_millia_week_008,0,Direct,허가,허가한다,
card_millia_week_008,1,Blocked,거부,불허한다,
card_millia_week_009,0,Direct,허가,허가한다,
card_millia_week_009,1,Blocked,거부,불허한다,
card_yuffie_week_001,0,Direct,허가,허가한다,
card_yuffie_week_001,1,Blocked,거부,불허한다,
card_yuffie_week_002,0,Direct,허가,허가한다,
card_yuffie_week_002,1,Blocked,거부,불허한다,
card_yuffie_week_003,0,Direct,허가,허가한다,
card_yuffie_week_003,1,Blocked,거부,불허한다,
card_yuffie_week_004,0,Direct,허가,허가한다,
card_yuffie_week_004,1,Blocked,거부,불허한다,
card_yuffie_week_005,0,Direct,허가,허가한다,
card_yuffie_week_005,1,Blocked,거부,불허한다,
card_yuffie_week_006,0,Direct,허가,허가한다,
card_yuffie_week_006,1,Blocked,거부,불허한다,
card_yuffie_week_007,0,Direct,허가,허가한다,
card_yuffie_week_007,1,Blocked,거부,불허한다,
card_yuffie_week_008,0,Direct,허가,허가한다,
card_yuffie_week_008,1,Blocked,거부,불허한다,
card_yuffie_week_009,0,Direct,허가,허가한다,
card_yuffie_week_009,1,Blocked,거부,불허한다,
